model,Lot Number,s_serial,Qty,Lot Qty,Line,Line Desc,Start Date,Shift,End Date,Shift,Due Date,Prod Type,Model Group,Model Category,Actual Results,MPS Mngm. Code,Cost Center,Comment,Date YYYYMMDD,S/O,Cont No,This Plan Qty,Prev Qty,This Qty,Create WSID,Create User,Create PGM, Create Date,Create Time
KMM-BT332KN,032A,11591,200,200,N0001,FA 01,2025-01-06,1,2025-01-06,1,2025-01-06,1,DMRBT-04-03-22,K,200,,100,,2025-01-06,5122095,P0244230,200,0,200,,,PLN06,MRPT37B2,20250114
KMM-BT322KN,098A,58151,250,250,N0001,FA 01,2025-01-06,1,2025-01-06,1,2025-01-06,1,KWDMR-03-03-17,K,250,,100,,2025-01-06,5122094,P0233992,250,0,250,,,PLN06,MRPT37B2,20250114
KMM-BT332UKN,116A,110586,323,1000,N0001,FA 01,2025-01-06,1,2025-01-06,1,2025-01-06,1,DMRBT-04-03-22,K,323,,100,,2025-01-06,5122096,P0250172,323,0,323,,,PLN06,MRPT37B2,20250114
KMM-BT332UKN,116A,110586,677,1000,N0001,FA 01,2025-01-07,1,2025-01-07,1,2025-01-06,1,DMRBT-04-03-22,K,677,,100,,2025-01-06,5122096,P0250172,677,0,677,,,PLN06,MRPT37B2,20250114
KMM-BT38KN,044A,24021,121,500,N0001,FA 01,2025-01-07,1,2025-01-07,1,2025-01-07,1,DMRBT-04-03-22,K,121,,100,,2025-01-07,5122213,P0246533,121,0,121,,,PLN06,MRPT37B2,20250114
KMM-BT38KN,044A,24021,379,500,N0001,FA 01,2025-01-08,1,2025-01-08,1,2025-01-07,1,DMRBT-04-03-22,K,379,,100,,2025-01-07,5122213,P0246533,379,0,379,,,PLN06,MRPT37B2,20250114
KMM-BT38KN,045A,24521,420,500,N0001,FA 01,2025-01-08,1,2025-01-08,1,2025-01-08,1,DMRBT-04-03-22,K,420,,100,,2025-01-08,5122360,P0248291,420,0,420,,,PLN06,MRPT37B2,20250114
KMM-BT38KN,045A,24521,80,500,N0001,FA 01,2025-01-09,1,2025-01-09,1,2025-01-08,1,DMRBT-04-03-22,K,80,,100,,2025-01-08,5122360,P0248291,80,0,80,,,PLN06,MRPT37B2,20250114
KMM-BT208MN,062A,30496,530,530,N0001,FA 01,2025-01-09,1,2025-01-09,1,2025-01-09,1,DMRBT-04-03-22,K,530,,100,,2025-01-09,5122523,P0250105,530,0,530,,,PLN06,MRPT37B2,20250114
KMM-BT232UKN,087A,55241,190,1050,N0001,FA 01,2025-01-09,1,2025-01-09,1,2025-01-09,1,DMRBT-04-03-22,K,190,,100,,2025-01-09,5122524,P0255997,190,0,190,,,PLN06,MRPT37B2,20250114
KMM-BT232UKN,087A,55241,800,1050,N0001,FA 01,2025-01-10,1,2025-01-10,1,2025-01-09,1,DMRBT-04-03-22,K,800,,100,,2025-01-09,5122524,P0255997,800,0,800,,,PLN06,MRPT37B2,20250114
